folder_name,display_name,ingredients,diet,course,flavor_profile,state,region,prep_time,cook_time
boondi,Boondi,"Gram flour, ghee, sugar",vegetarian,dessert,sweet,Rajasthan,West,80,30
gajar_ka_halwa,Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,dessert,sweet,Punjab,North,15,60
ghevar,Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,dessert,sweet,Rajasthan,West,15,30
gulab_jamun,Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,dessert,sweet,West Bengal,East,15,40
imarti,Imarti,"Sugar syrup, lentil flour",vegetarian,dessert,sweet,West Bengal,East,10,50
jalebi,Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,dessert,sweet,Uttar Pradesh,North,10,50
kalakand,Kalakand,"Milk, cottage cheese, sugar",vegetarian,dessert,sweet,West Bengal,East,20,30
lassi,Lassi,"Yogurt, milk, nuts, sugar",vegetarian,dessert,sweet,Punjab,North,5,5
phirni,Phirni,"Rice, sugar, nuts",vegetarian,dessert,sweet,Odisha,East,30,20
rabri,Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,dessert,sweet,Uttar Pradesh,North,10,45
sheera,Sheera,"Semolina, ghee, nuts, milk",vegetarian,dessert,sweet,Maharashtra,West,10,25
sohan_halwa,Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,dessert,sweet,Uttar Pradesh,North,10,60
sohan_papdi,Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,dessert,sweet,Maharashtra,West,-1,60
chhena_kheeri,Chhena kheeri,"Chhena, sugar, milk",vegetarian,dessert,sweet,Odisha,East,-1,60
cham_cham,Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,dessert,sweet,West Bengal,East,40,60
ledikeni,Ledikeni,"Chhena, sugar, ghee",vegetarian,dessert,sweet,West Bengal,East,45,45
lyangcha,Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,dessert,sweet,Assam,North East,20,30
malapua,Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,dessert,sweet,Bihar,North,10,120
misti_doi,Misti doi,"Milk, jaggery",vegetarian,dessert,sweet,West Bengal,East,480,30
pithe,Pithe,"Rice flour, wheat flour",vegetarian,dessert,sweet,Assam,North East,15,35
ras_malai,Ras malai,"Chhena, reduced milk, pistachio",vegetarian,dessert,sweet,West Bengal,East,180,60
rasgulla,Rasgulla,"Chhena, sugar, cardamom",vegetarian,dessert,sweet,West Bengal,East,10,90
sandesh,Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,dessert,sweet,West Bengal,East,30,20
adhirasam,Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,dessert,sweet,West Bengal,East,10,50
ariselu,Ariselu,"Rice flour, jaggery, ghee",vegetarian,dessert,sweet,Andhra Pradesh,South,15,75
bandar_laddu,Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,dessert,sweet,Andhra Pradesh,South,5,35
chikki,Chikki,"Peanuts, jaggery",vegetarian,dessert,sweet,Maharashtra,West,10,20
dharwad_pedha,Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,dessert,sweet,Karnataka,South,20,60
double_ka_meetha,Double ka meetha,"Loaf bread, milk",vegetarian,dessert,sweet,Telangana,South,20,30
gavvalu,Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,dessert,sweet,Andhra Pradesh,South,10,30
kakinada_khaja,Kakinada khaja,"Wheat flour, sugar",vegetarian,dessert,sweet,Andhra Pradesh,South,10,30
